ID,Query_Category,Citation,Year,Journal_Source,Paper_Type,Data_Used,Key_Finding,Gap_Limitation,Relevance_Paper
1,Workforce Aging,"Wiejak-Roy & Edwards, ""Trends and challenges in regulation and accreditation of land surveying professions in the United States of America and the United Kingdom,"" Survey Review (Taylor & Francis), DOI: 10.1080/00396265.2025.2552025",2025,Survey Review,Empirical (comparative regulatory analysis),Review of legal regulations and professional guidelines in US and UK,"Compares US and UK professional requirements for licensed land surveyors; highlights growing need for paraprofessionals (e.g. CST from NSPS) and challenges in encouraging new candidates","Focused on regulation/accreditation rather than workforce demographics; no quantitative workforce data",1
2,Workforce Aging,"Anonymous (Academia.edu), ""Surveying Shortage: A Brief Look at the Evidence,"" unpublished/working paper, Academia.edu",Unknown,Academia.edu (unpublished),Review/Opinion,Multiple popular and scholarly sources,"Analyzed evidence of the surveying shortage including age profile of profession and closing of university programs; found decades-long decline in entrants and increase in exits","Not peer-reviewed; limited citation information available; author and date unclear",1
3,Workforce Aging,"Heydari, Shojaei, Naderi & Iorio, ""Paving the Way for Progress: A Systematic Literature Review on Diversity, Equity, and Inclusion in the AEC Industry,"" Journal of Management in Engineering, 40(3)",2024,Journal of Management in Engineering (ASCE),Systematic literature review,Academic publications from 2010 onward,"Identified 10 influential variable clusters affecting DEI in AEC industry including organizational aspects, work environment, work-life balance, education, and wage gap; mapped barriers and solutions","Covers AEC broadly -- surveying is not specifically addressed as a subfield; focuses on published literature which may miss trade/gray literature",2 and 3
4,Workforce Aging,"Choi, Shane & Chih (eds.), ""Diversity and Inclusion in the Engineering-Construction Industry,"" Special Collection, Journal of Management in Engineering, 38(2)",2022,Journal of Management in Engineering (ASCE),Special collection (16 peer-reviewed papers),Various empirical studies,"23 articles exploring segregation, inequality, labor shortage, and discrimination in construction; concluded that increasing diversity is imperative for future workforce; more rigorous research needed","Construction-focused; does not specifically address land surveying as distinct from broader AEC",2
5,Workforce Aging,"Menches & Abraham, ""Women in Construction -- Tipping the Balance,"" & related papers in JME special collection on retention of women in civil engineering workforce",2021,Journal of Management in Engineering (ASCE),Empirical,Survey data on women in civil engineering,"Female civil engineers are underrepresented in supervisory positions, much more likely to leave their jobs, and experience more career path challenges; women earn 50.6% of environmental engineering degrees but only 25.9% of civil engineering degrees","Limited to gender; does not address intersectionality with race; no surveying-specific data",2
6,Workforce Aging,"U.S. Bureau of Labor Statistics, ""Occupational Outlook Handbook: Surveyors,"" 2024-2034 projections",2025,BLS Occupational Outlook Handbook,Government data/projections,CPS and OES survey data,"Employment of surveyors projected to grow 4% (2024-2034); about 3,900 annual openings mostly from replacement needs (retirements/exits); median wage $72,740; technology may limit growth","BLS projects modest growth but does not model retirement wave separately; does not break out licensed vs. unlicensed surveyors",1
7,Workforce Aging,"U.S. Bureau of Labor Statistics, ""Occupational Outlook Handbook: Surveying and Mapping Technicians,"" 2024-2034 projections",2025,BLS Occupational Outlook Handbook,Government data/projections,CPS and OES survey data,"Employment projected to grow 5% (2024-2034); about 7,600 annual openings; technicians still needed to interpret output of drones and new technologies","Does not address demographics or diversity of the technician workforce",1
8,Workforce Aging,"NSPS, ""Surveying Profession Demographics Survey,"" National Society of Professional Surveyors",~2020,NSPS (trade organization),Trade survey,Survey of 2409 NSPS members,"Profession is 94.3% male, 92.3% White; Black representation at 0.3% (8 of 2409); Hispanic at 1.7%; largest income brackets $80-100K and $100K+","Self-selected sample of NSPS members; may not represent non-members or unlicensed workforce; date of survey unclear","1, 2"
9,Workforce Aging,"Data USA / U.S. Census ACS, ""Surveyors, Cartographers & Photogrammetrists"" demographic profile",2023,Data USA / Census ACS,Government data,American Community Survey,"Workforce is 82.8% male, 83.1% White, 3.55% Black, 11.1% Hispanic; total workforce ~35,072","Combines surveyors with cartographers and photogrammetrists; cannot isolate licensed land surveyors specifically","1, 2"
10,Workforce Aging,"Zippia, ""Land Surveyor Demographics and Statistics,"" labor market analysis",2025,Zippia (labor analytics),Data aggregation,BLS and Census data,"75.4% White, 10.9% Hispanic, 5.0% Asian, 3.35% Black; 93.9% male; diversity score 5.5/10; women earned 96% of male wages","Methodology for data aggregation not fully transparent; mixes data sources",2
