citation,year,journal_or_source,paper_type,data_used,key_finding,gap_or_limitation_noted,relevance_to_paper,verification_status
"Wiejak-Roy & Edwards, Trends and challenges in regulation and accreditation of land surveying professions in the US and UK, Survey Review",2025,Survey Review (Taylor & Francis),empirical,Regulatory review US/UK,"Only peer-reviewed paper on surveying workforce; compares regulatory requirements; highlights need for paraprofessionals","Focused on regulation not demographics; no quantitative workforce data",1/2/3,web-verified
"NSPS, Surveying Profession Demographics Survey (n=2409)",NA,NSPS (trade organization),empirical,Member survey (n=2409),"94.3% male; 92.3% White; 0.3% Black (8 respondents); only surveying-specific demographic data","Undated; convenience sample; not peer-reviewed; likely skews older/White/male",1/2,web-verified
"Anonymous, Surveying Shortage: A Brief Look at the Evidence, Academia.edu",NA,Academia.edu (unpublished),review,Secondary sources,"Documents decades-long decline in entrants and increase in exits from surveying","Not peer-reviewed; author and date unclear",1,needs-manual-verification
"BLS, Occupational Outlook Handbook: Surveyors 2024-2034",2025,BLS OOH,government,CPS and OES,"4% growth projected; ~3900 annual openings mostly replacement; median wage $72740","Does not model retirement wave separately; does not break out licensed vs unlicensed",1,web-verified
"BLS, Occupational Outlook Handbook: Surveying and Mapping Technicians 2024-2034",2025,BLS OOH,government,CPS and OES,"5% growth projected; ~7600 annual openings; technicians still needed for drone/tech output","Does not address demographics of technician workforce",1,web-verified
"BLS, CPS Table 11: Employed persons by detailed occupation sex race Hispanic origin",2023,BLS CPS,government,Current Population Survey,"Surveyors/cart/photog: 82.8% male; 83.1% White; 3.55% Black; 11.1% Hispanic; ~35072 total","Combines surveyors with cartographers/photogrammetrists; small sample for rare occupations",1/2,web-verified
"BLS, OEWS: Surveyors (SOC 17-1022)",2024,BLS OEWS,government,Employer survey,"Median annual wage $73090 (May 2024); detailed employment by state and industry","Wage/employment only; no demographic breakdown in OEWS",1/2,web-verified
"NCEES, Squared 2024 Annual Report",2024,NCEES,institutional,Exam administration records,"PS exam: 56% first-time pass rate; FS exam ~46% first-time; low candidate volumes (hundreds)","Does not publish candidate demographics; historical trend data scattered",1,web-verified
"Census Bureau, EEO Tabulation 2014-2018",2021,U.S. Census Bureau,government,ACS 5-year PUMS 2014-2018,"Pre-tabulated race/sex by detailed occupation including surveyors at national/state/metro level","Data exists but NO published analysis applying it to surveyors found",2,web-verified
"Data USA, Surveyors Cartographers and Photogrammetrists",2023,Data USA (Census visualization),empirical,ACS PUMS,"83.1% White; 82.8% male; interactive demographic profiles","Visualization tool not original research; combines surveyor subcategories",2,web-verified
"Funk & Parker, STEM Jobs See Uneven Progress in Increasing Gender Racial and Ethnic Diversity, Pew Research",2021,Pew Research Center,empirical,ACS PUMS via IPUMS,"Black 9% of STEM (vs 11% total); Hispanic 15% (vs 18%); women 15% of engineering/architecture cluster","Does NOT disaggregate to surveyor level; broad occupation clusters only",2,web-verified
