Citation/Source,Year,Source Type,Key Finding,Gap/Limitation,Relevance (Paper 1/2/3),Query
"Texas Education Agency – Geospatial Engineering and Land Surveying Program of Study",2024,Government/Program,"Texas CTE program of study for geospatial engineering and land surveying; regional approval required based on labor market data for high-wage high-skill careers.","No published evaluation of student outcomes or workforce entry rates; limited to regions with labor market justification.",3,Q1
"Klein ISD – Geospatial Engineering & Land Surveying Pathway (Klein Collins HS)",2018-present,Program Website,"First-of-its-kind Texas high school pathway allowing students to earn AS in GIS plus industry certs (AutoCAD; NSPS CST I; FAA drone pilot) with dual credit through Lone Star College. Industry partnership with Gratia Geomatics/S&V Surveying.","Single-district case study; no published data on graduation rates; diversity demographics of enrolled students not publicly reported.",3,Q1/Q9
"Gratia Geomatics – Klein ISD Program Feature",2023,Trade/Industry,"Surveying firm donates weekly instruction time to Klein Collins students; program founder Isidro Garza (RPLS) helped design curriculum through CTE Advisory Council.","Relies on volunteer industry professionals; scalability and replicability not assessed.",3,Q9
"Southern California Surveyors Joint Apprenticeship Committee (SC Survey JAC)",Ongoing,Program Website,"Three-year apprenticeship combining field training with classroom instruction; Chainman and Chief of Party tracks; explicitly recruits veterans with GI Bill benefits.","No published completion rates or demographic data; limited to Southern California region.",3,Q2
"Technical Engineers Apprenticeship (TEA) – Surveyor Program",Ongoing,Program Website,"California-based surveyor apprenticeship combining hands-on field training with classroom learning; employer-sponsored graduated wage scale.","No published outcome data or diversity metrics.",3,Q2
"Bolton & Menk – Registered Apprenticeship Programs",2024,Program Website,"Two-year apprenticeship for Survey Technician or Construction Project Representative; active in Iowa and North Carolina with planned expansion.","Newly established; no longitudinal outcome data yet; limited geographic scope.",3,Q2
"New Jersey Society of Professional Land Surveyors – Apprenticeship Program",Ongoing,Program Website,"Offers mentorship and curriculum-based apprenticeship pathway for aspiring surveyors in New Jersey.","Minimal public information on structure; enrollment or completion data not available.",3,Q2
"Apprenticeship.gov – Surveying Occupations Listings",Ongoing,Government,"Federal registry of registered apprenticeship opportunities for Surveyors (17-1022.00) and Surveying/Mapping Technicians (17-3031.00) nationwide.","Aggregated listings only; no analysis of program quality or outcomes.",3,Q2
"Cleveland State Community College – Surveying Concentration AAS",Ongoing,Program Website,"63-credit AAS in Engineering Systems Technology with Surveying Concentration designed for immediate workforce entry.","No published placement rates or demographic data on graduates.",3,Q3
"St. Cloud Technical and Community College – Land Surveying/Civil Engineering",Ongoing,Program Website,"AAS program with transfer pathway to St. Cloud State University for BS in Land Surveying & Mapping Science.","Transfer and completion rates not publicly reported.",3,Q3
"Kansas City Kansas Community College – Surveying Technology",Ongoing,Program Website,"Program prepares graduates for Kansas licensing exam through Kansas State Board of Technical Professions; covers photogrammetry GPS and GIS.","No published pass rates for licensing exam or employment outcomes.",3,Q3
"Wake Tech Community College – Geomatics Technology",Ongoing,Program Website,"Geomatics Technology program with transfer pathway to NC A&T for BS in Geomatics; graduates employed as field technicians or office support.","No diversity data or retention statistics published.",3,Q3
"Cape Fear Community College – Land Surveying (Geomatics)",Ongoing,Program Website,"Program blending surveying cartography and GIS; prepares students for geomatics careers.","Limited published outcome or demographic data.",3,Q3
"Tidewater Community College – Land Surveying Certificate",Ongoing,Program Website,"27-credit certificate; graduates with 6 years experience eligible for Fundamentals of Surveying Exam and State Land Surveyor-in-Training designation.","Long experience requirement (6 years) limits rapid workforce entry; no published enrollment trends.",3,Q3
"North Carolina A&T State University – BS in Geomatics",2020-present,Program Website/HBCU,"Only HBCU with ABET-accredited 4-year geomatics program; ranked No. 3 nationally for online GIS degrees (2020); 80-90% placement within 6 months at ~$70K starting salary; received NCEES Surveying Education Award 3rd place in 2021 and 2022.","Only one HBCU identified nationally with this program; no published data on racial demographics of graduates or pipeline from HBCUs to surveying licensure.",2/3,Q4
"PMC – Career Transition Experiences of Military Veterans (qualitative study)",2023,Academic,"Qualitative study (n=15) identified 4 themes in veteran career transition: necessity of preparation; impacting factors; loss of structure; and establishing civilian identity.","Small sample; not specific to surveying or geospatial careers; general transition challenges only.",2/3,Q5
"Southern California Surveyors JAC – Veterans Apprenticeship",Ongoing,Program Website,"SC Survey JAC explicitly recruits veterans and supports GI Bill benefits for surveying apprenticeship training.","No published data on veteran enrollment numbers; completion rates or outcomes not reported.",3,Q5
"DOD SkillBridge Program",Ongoing,Government,"Allows active-duty service members civilian work experience during last 180 days of service; could connect to surveying firms but no surveying-specific SkillBridge programs identified.","No evidence of surveying-specific SkillBridge partnerships; significant gap in connecting military surveyors (12T) to civilian surveying careers.",3,Q5/Q11
"MOS 12T Technical Engineer Specialist – Career Profile",2022,Trade/Military,"Military role closely aligned with civilian surveying; training includes CAD GPS geodetic surveys and topographic mapping over 17-week AIT at Fort Leonard Wood.","No formal military-to-civilian surveying transition pipeline documented; no data on how many 12T soldiers enter civilian surveying careers.",2/3,Q11
"GoArmy.com – 12T Technical Engineer Career Page",Ongoing,Government/Military,"Official Army career page for 12T; skills include GPS technology geodetic/construction surveys CAD systems and topographic mapping.","No mention of civilian licensure pathways or transition support specific to professional land surveying.",3,Q11
"ASCE – Diversity Equity and Inclusion",2023-2025,Professional Association,"ASCE MOSAIC committee leads DEI efforts; hosted first Justice Equity Diversity and Inclusion Engineering Workforce Summit; participated in Engineering Workforce Consortium Workshop.","Broad civil engineering focus; no surveying-specific diversity data or programs identified.",2/3,Q6
"Hatch S. – Diversity by Design: Guide to Fostering Diversity in Civil Engineering Workforce (ASCE Press)",2003,Academic/Book,"Early ASCE publication on fostering diversity in civil engineering workforce.","Over 20 years old; predates current demographic shifts and DEI frameworks; no surveying-specific content.",2,Q6
"ASCE/NGA – Strategies to Address Engineering Workforce Challenges",2023,Government/Professional,"National Governors Association convening identified actionable workforce strategies; SIU Carbondale example of free 10-week training for disadvantaged communities with guaranteed DOT employment.","Focus on civil engineering broadly; surveying not specifically addressed.",2/3,Q6
